,store_clus,logistic_qty,disc,yr_wk_num,intcp,prod_lvl_3_cd,discflag
1374882,1,-0.929846847,0,201704,1,668,1
1374911,1,-1.268570275,0,201704,1,668,1
1374916,5,2.995732274,0,201705,1,668,1
1374957,1,-0.286256544,0,201706,1,668,1
1374958,1,-0.940364691,0,201705,1,668,1
1375005,2,-0.197389045,0,201705,1,668,1
1375020,1,-1.325909783,0,201706,1,668,1
1375053,1,-1.281922485,0,201704,1,668,1
1375054,1,-1.345711366,0,201704,1,668,1
1375069,2,-1.311916257,0,201706,1,668,1
1375091,3,-0.366256997,0,201706,1,668,1
1375109,2,-0.236858069,0,201705,1,668,1
1375134,2,-0.27782589,0,201704,1,668,1
1375215,5,-0.899224565,0,201706,1,668,1
1375255,4,-0.286760835,0,201704,1,668,1
1375278,1,-0.910017702,0,201704,1,668,1
1375319,2,2.995732274,0,201705,1,668,1
1375322,2,-0.927120417,0,201704,1,668,1
1375334,2,-1.311916257,0,201704,1,668,1
1375350,1,-1.587706834,0,201704,1,668,1
1375582,2,-1.276428087,0,201704,1,668,1
1375650,1,-0.193262087,0,201706,1,668,1
1375658,2,-1.384915991,0,201706,1,668,1
1375660,5,-0.229681246,0,201706,1,668,1
1375661,2,2.282174096,0,201705,1,668,1
1375723,2,-1.276428087,0,201705,1,668,1
1375743,1,-0.201802889,0,201705,1,668,1
1375750,1,-1.325909783,0,201704,1,668,1
1375795,2,-0.907488685,0,201705,1,668,1
1375842,1,-1.281922485,0,201705,1,668,1
1375844,1,2.995732274,0,201706,1,668,1
1375932,4,-1.341668345,0,201705,1,668,1
1375963,2,-0.333501679,0,201704,1,668,1
1375980,2,-0.287682072,0,201705,1,668,1
1376012,1,-1.325909783,0,201705,1,668,1
1376032,4,1.795449523,0,201705,1,668,1
1376096,2,-0.236858069,0,201706,1,668,1
1376107,5,-0.320607391,0,201706,1,668,1
1376125,2,-0.274769892,0,201705,1,668,1
1376139,2,-0.244425446,0,201704,1,668,1
1376141,3,-0.342346585,0,201704,1,668,1
1376168,2,-0.320607391,0,201704,1,668,1
1376283,2,-0.263526162,0,201705,1,668,1
1376498,1,-0.912506416,0,201705,1,668,1
1376537,2,-0.334010473,0,201704,1,668,1
1376603,3,-0.296948435,0,201705,1,668,1
1376620,1,-1.795208494,0,201705,1,668,1
1376629,1,-0.262973774,0,201704,1,668,1
1376655,1,2.995732274,0,201706,1,668,1
1376723,1,-0.211479071,0,201705,1,668,1
1376725,1,-0.26373289,0,201706,1,668,1
1376728,2,2.995732274,0,201706,1,668,1
1376764,1,-1.301858774,0,201706,1,668,1
1376765,1,-0.892705209,0,201704,1,668,1
